t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19481 470355652 19477 330439693 0        20 3 4260833690 -38.040428 3733 079945324
19481 550410100 19477 330439693 0        10 1 4260833791 23.794073 3733 080054448
19481 630382320 19477 330439693 0        16 2 4260833620 -40.359619 3733 079972220
19481 710372300 19478 455427456 0        61 10 4260832630 -232.390396 3676 079989980
19481 790382212 19478 455427456 0        -1 0 4260833574 221.734741 3676 080009912
19481 870380744 19478 455427456 0        -7 -1 4260833700 29.640863 3676 079998532
19481 950394232 19478 455427456 0       -15 -2 4260833896 46.226360 3676 080013488
19482 030438907 19478 455427456 0       -12 -1 4260833911 3.534170 3676 080044675
19482 110462219 19478 455427456 0        -8 -1 4260833891 -4.729720 3676 080023312
19482 190429399 19478 455427456 0        -8 -1 4260833931 9.508303 3676 079967180
19482 270407939 19478 455427456 0       -14 -2 4260834092 37.944344 3676 079978540
19482 350406659 19478 455427456 0        -8 -1 4260834042 -11.868686 3676 079998720
19482 430570923 19478 455427456 0       -10 -1 4260834122 18.874979 3676 080164264
19482 510459131 19478 455427456 0        -4 0 4260834052 -16.497051 3676 079888208
19482 590449127 19478 455427456 0       -38 -6 4260834759 165.984238 3676 079989996
19482 670523735 19478 455427456 0       -20 -3 4260834587 -40.418533 3676 080074608
19482 750449583 19478 455427456 0       -16 -2 4260834607 4.878688 3676 079925848
19482 830488415 19479 580415259 0       -42 -6 4260835212 142.127487 3720 080038832
19482 910490499 19479 580415259 0       -22 -3 4260835021 -44.982964 3720 080002084
19482 990580071 19479 580415259 0         2 0 4260834648 -87.729202 3720 080089572
19483 070467902 19479 580415259 0        15 2 4260834375 -64.122719 3720 079887831
19483 150471690 19479 580415259 0        21 3 4260834179 -46.158707 3720 080003788
19483 230480034 19479 580415259 0        21 3 4260834073 -24.890829 3720 080008344
19483 310589722 19479 580415259 0        29 4 4260833807 -62.662815 3720 080109688
19483 390503498 19479 580415259 0       -19 -3 4260834630 193.191162 3720 079913776
19483 470527286 19479 580415259 0        -1 0 4260834362 -62.912327 3720 080023788
19483 550506482 19479 580415259 0         5 0 4260834246 -27.273209 3720 079979196
19483 630530646 19479 580415259 0         9 1 4260834140 -24.880562 3720 080024164
19483 710525930 19479 580415259 0        13 2 4260834014 -29.653009 3720 079995284
19483 790598546 19479 580415259 0        19 3 4260833828 -43.785709 3720 080072616
19483 870536554 19479 580415259 0        13 2 4260833852 5.818508 3720 079938008
