t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19922 564789301 19918 467331218 0        26 5 3579221513 -101.886681 1950 080049628
19922 644784429 19918 467331218 0        -9 -1 3579221996 135.102325 1950 079995128
19922 724823953 19918 467331218 0        11 2 3579221695 -84.156700 1950 080039524
19922 804872693 19918 467331218 0       -14 -2 3579222072 105.463280 1950 080048740
19922 884890797 19919 592357241 0        -3 0 3579221945 -35.541378 1964 080018104
19922 964782701 19919 592357241 0       -23 -4 3579222297 98.543694 1964 079891904
19923 044791933 19919 592357241 0         2 0 3579221970 -91.401207 1964 080009232
19923 124815033 19919 592357241 0       -13 -2 3579222216 68.747444 1964 080023100
19923 204859833 19919 592357241 0         7 1 3579221932 -79.406441 1964 080044800
19923 304833648 19919 592357241 0       -12 -2 3579222189 71.843033 1964 099973815
19923 384821748 19919 592357241 0        13 2 3579221847 -95.812981 1964 079988100
19923 464887632 19919 592357241 0        -7 -1 3579222131 79.419601 1964 080065884
19923 544596520 19919 592357241 0        23 4 3579221651 -134.310883 1964 079708888
19923 624854168 19919 592357241 0       -12 -2 3579222148 138.866364 1964 080257648
19923 704849048 19919 592357241 0        13 2 3579221776 -104.198677 1964 079994880
19923 784860072 19919 592357241 0       -12 -2 3579222145 103.142952 1964 080011024
19923 864896228 19919 592357241 0        13 2 3579221772 -104.302322 1964 080036156
19923 944866416 19919 592357241 0        33 6 3579221378 -110.336144 1964 079970188
19924 024931652 19920 717383392 0        -6 -1 3579221900 145.858124 1963 080065236
19924 104633628 19920 717383392 0       -16 -3 3579222096 54.822117 1963 079701976
19924 184610640 19920 717383392 0         4 0 3579221824 -76.094536 1963 079977012
19924 264953600 19920 717383392 0        10 2 3579221706 -33.001419 1963 080342960
19924 344612868 19920 717383392 0        -5 -1 3579221917 59.209126 1963 079659268
19924 424904703 19920 717383392 0        11 2 3579221667 -69.856895 1963 080291835
19924 504903387 19920 717383392 0       -19 -3 3579222129 129.088882 1963 079998684
19924 584979451 19920 717383392 0         1 0 3579221871 -72.323372 1963 080076064
19924 664933575 19920 717383392 0       -19 -3 3579222206 93.705986 1963 079954124
19924 744995867 19920 717383392 0         6 1 3579221863 -96.055763 1963 080062292
19924 825029227 19920 717383392 0       -14 -2 3579222176 87.692627 1963 080033360
19924 904970571 19920 717383392 0        11 2 3579221812 -101.972641 1963 079941344
19924 984617375 19920 717383392 0        -4 0 3579222020 58.186382 1963 079646804
19925 064940107 19920 717383392 0        11 2 3579221783 -66.268143 1963 080322732
19925 145023511 19921 842409191 0       -11 -2 3579222109 91.086823 1960 080083404
19925 224999759 19921 842409191 0         9 1 3579221817 -81.775986 1960 079976248
19925 304618375 19921 842409191 0        -4 0 3579221999 51.061443 1960 079618616
19925 384972535 19921 842409191 0         6 1 3579221847 -42.639225 1960 080354160
19925 464995342 19921 842409191 0       -13 -2 3579222143 82.881859 1960 080022807
19925 545023834 19921 842409191 0         7 1 3579221859 -79.412079 1960 080028492
19925 624993858 19921 842409191 0       -13 -2 3579222168 86.560036 1960 079970024
19925 705064434 19921 842409191 0        12 2 3579221799 -103.121140 1960 080070576
19925 784615378 19921 842409191 0         2 0 3579221917 33.090607 1960 079550944
19925 865033530 19921 842409191 0         7 1 3579221825 -25.881121 1960 080418152
19925 945063870 19921 842409191 0        27 5 3579221456 -103.230705 1960 080030340
19926 025035618 19921 842409191 0        -8 -1 3579221935 133.945328 1960 079971748
19926 104627442 19921 842409191 0       -13 -2 3579222054 33.489090 1960 079591824
19926 184608558 19921 842409191 0         7 1 3579221769 -79.678276 1960 079981116
19926 265145486 19922 967434998 0         0 0 3579221858 24.916729 1964 080536928
19926 345046678 19922 967434998 0       -20 -4 3579222197 94.955467 1964 079901192
19926 425066450 19922 967434998 0         5 1 3579221858 -94.931534 1964 080019772
19926 505068706 19922 967434998 0       -15 -3 3579222176 88.913376 1964 080002256
19926 585082665 19922 967434998 0        11 2 3579221799 -105.508751 1964 080013959
19926 665082893 19922 967434998 0       -14 -2 3579222176 105.510895 1964 080000228
19926 745108005 19922 967434998 0        11 2 3579221812 -101.947151 1964 080025112
19926 825155861 19922 967434998 0       -14 -2 3579222189 105.470963 1964 080047856
19926 904620985 19922 967434998 0       -14 -2 3579222250 17.065851 1964 079465124
19926 984633477 19922 967434998 0        11 2 3579221884 -102.289398 1964 080012492
19927 065099133 19922 967434998 0        16 3 3579221754 -36.337326 1964 080465656
19927 144624349 19922 967434998 0         6 1 3579221854 27.941773 1964 079525216
19927 225173773 19922 967434998 0         6 1 3579221830 -6.795803 1964 080549424
19927 304630057 19922 967434998 0         3 0 3579221854 6.866910 1964 079456284
19927 385188673 19924 092460925 0        -4 0 3579221959 29.597860 1966 080558616
19927 465139497 19924 092460925 0       -19 -3 3579222231 76.028389 1966 079950824
19927 545152109 19924 092460925 0         6 1 3579221888 -96.071434 1966 080012612
19927 625211332 19924 092460925 0       -18 -3 3579222269 106.643295 1966 080059223
19927 704619780 19924 092460925 0       -13 -2 3579222263 -1.863463 1966 079408448
19927 785176224 19924 092460925 0        -3 0 3579222147 -32.471840 1966 080556444
19927 865290980 19924 092460925 0        22 4 3579221737 -114.792625 1966 080114756
19927 945237152 19924 092460925 0        -3 0 3579222067 92.368851 1966 079946172
19928 025191896 19924 092460925 0        22 4 3579221656 -115.063637 1966 079954744
19928 104628236 19924 092460925 0         7 1 3579221816 44.836018 1966 079436340
19928 184614084 19924 092460925 0       -13 -2 3579222126 86.734726 1966 079985848
19928 295298456 19924 092460925 0       -20 -4 3579222208 23.002256 1966 110684372
19928 375211016 19924 092460925 0        10 2 3579221855 -98.882149 1966 079912560
