t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19299 364722654 19295 554153686 0        28 0 4190299842 -121.027580 1571 078562344
19299 446279749 19295 554153686 0        17 0 4190299935 22.365950 1571 081557095
19299 524670781 19295 554153686 0       -32 0 4190300831 213.837448 1571 078391032
19299 606208581 19295 554153686 0       -22 0 4190300774 -13.809780 1571 081537800
19299 684678981 19295 554153686 0        -7 0 4190300595 -42.864113 1571 078470400
19299 764683593 19295 554153686 0        40 0 4190299694 -215.067825 1571 080004612
19299 844702125 19295 554153686 0        -4 0 4190300369 161.231125 1571 080018532
19299 926232197 19296 679177525 0       -14 0 4190300582 51.001427 1593 081530072
19300 006247801 19296 679177525 0       -39 0 4190301152 136.058380 1593 080015604
19300 086251221 19296 679177525 0       -30 0 4190301166 3.577750 1593 080003420
19300 166271901 19296 679177525 0        22 0 4190300282 -211.008621 1593 080020680
19300 246273541 19296 679177525 0        22 0 4190300173 -26.101191 1593 080001640
19300 326337569 19296 679177525 0        30 0 4190299906 -63.913975 1593 080064028
19300 404736105 19296 679177525 0       -14 0 4190300635 174.088593 1593 078398536
19300 484687565 19296 679177525 0        -7 0 4190300562 -17.594488 1593 079951460
19300 566286400 19296 679177525 0         5 0 4190300360 -48.236931 1593 081598835
19300 644699236 19296 679177525 0        29 0 4190299846 -122.682282 1593 078412836
19300 726325036 19296 679177525 0         9 0 4190300112 63.506355 1593 081625800
19300 806274540 19296 679177525 0       -10 0 4190300442 78.823196 1593 079949504
19300 886363756 19296 679177525 0         4 0 4190300214 -54.543533 1593 080089216
19300 964676616 19296 679177525 0       -31 0 4190300901 164.115097 1593 078312860
19301 046369512 19297 804201120 0        14 0 4190300156 -177.954117 1590 081692896
19301 126288852 19297 804201120 0        10 0 4190300161 1.291333 1590 079919340
19301 204692612 19297 804201120 0         0 0 4190300309 35.546932 1590 078403760
19301 286310392 19297 804201120 0         8 0 4190300153 -37.247215 1590 081617780
19301 364725572 19297 804201120 0       -12 0 4190300512 85.812836 1590 078415180
19301 446446768 19297 804201120 0        -8 0 4190300486 -6.415094 1590 081721196
19301 524662712 19297 804201120 0        16 0 4190300045 -105.275719 1590 078215944
19301 606407871 19297 804201120 0       -14 0 4190300562 123.397583 1590 081745159
19301 684693479 19297 804201120 0        31 0 4190299730 -198.624191 1590 078285608
19301 766417039 19297 804201120 0         0 0 4190300202 112.869194 1590 081723560
19301 844705235 19297 804201120 0       -25 0 4190300708 120.944595 1590 078288196
19301 926437407 19297 804201120 0         1 0 4190300308 -95.671303 1590 081732172
19302 006393903 19297 804201120 0        -7 0 4190300461 36.694508 1590 079956496
19302 086438775 19297 804201120 0        -5 0 4190300456 -1.212488 1590 080044872
19302 166462475 19298 929224839 0        18 0 4190300024 -103.113869 1582 080023700
19302 246534327 19298 929224839 0        15 0 4190299995 -7.069202 1582 080071852
19302 326376767 19298 929224839 0        24 0 4190299741 -60.728188 1582 079842440
19302 406381847 19298 929224839 0       -13 0 4190300357 147.178955 1582 080005080
19302 486487859 19298 929224839 0       -21 0 4190300580 53.228539 1582 080106012
19302 566432691 19298 929224839 0        -1 0 4190300288 -69.844101 1582 079944832
19302 646526947 19298 929224839 0       -22 0 4190300709 100.659790 1582 080094256
19302 724668546 19298 929224839 0         9 0 4190300200 -121.627365 1582 078141599
19302 804711010 19298 929224839 0       -25 0 4190300833 151.275314 1582 080042464
19302 886419458 19298 929224839 0       -26 0 4190300966 31.905752 1582 081708448
19302 966444494 19298 929224839 0        11 0 4190300369 -142.696167 1582 080025036
19303 046555694 19298 929224839 0        23 0 4190300077 -69.818634 1582 080111200
19303 126472158 19298 929224839 0        12 0 4190300180 24.722359 1582 079916464
19303 204671238 19298 929224839 0        14 0 4190300075 -25.150961 1582 078199080
19303 286525030 19300 054248562 0       -33 0 4190300930 204.274231 1602 081853792
